Station,Fork.,Selskab,Status,Strækning,Bemærkninger
Frisvadvej,Fr,VNJ,P,Va-Nbl,Trinbræt
Fruens Bøge,Frs,Banedanmark,P,Od-Svg,Station
Fuglebakken,Fut,Banedanmark,P,Ig (nær)-Hl (nær),Trinbræt
Fuglevad,Fgv,Lokaltog A/S,P,Jæt-Nær,Station
Funder,Fu,Banedanmark,÷ P,Sd-Sj,Station
Fåre,Fre,Midtjyske Jernbaner,P,Vem-Thb,Station
Fårevejle,Fv,Lokaltog A/S,P,Hk-Nk,Station
Fårup,Fp,Banedanmark,÷ P,Ar-Ab,Station
Gadbjerg,Gg,Banedanmark,÷ P,Ho-Vj,Station
Gadstrup,Gd,Banedanmark,P,Ro-Kj-Næ,Station
Gedser,Ge,Banedanmark,÷ P,Nf-Ge,Station
Gelsted,Gd,Banedanmark,P,Kh-Fa/Tl,Trinbræt
Gentofte,Gj,Banedanmark,P,Kh (nær)-Gj, Gj-Hi,Station
Gilleleje,Gll,Lokaltog A/S,P,Kgg-Gll, Hg-Gll,Station
Gilleleje Øst,Glø,Lokaltog A/S,P,Hg-Gll,Trinbræt
Gislinge,Gi,Lokaltog A/S,P,Hk-Nk,Station
Give,Gw,Banedanmark,P,Ho-Vj,Station
Gjesing,Gje,Banedanmark,P,Es-Str,Trinbræt
Glostrup,Gl,Banedanmark,÷ P,Kh-Fa/Tl,Station
Glostrup (nær),Gl,Banedanmark,P,Kh (nær)-Htå (nær),Station
Glumsø,Gz,Banedanmark,P,Rg-Rf,Station
Godhavn,Ghg,Lokaltog A/S,P,Hi-Tvl,Trinbræt
Gredstedbro,Gs,Banedanmark,P,Bm-Tdgr,Station
Grejsdal,Ges,Banedanmark,÷ P,Ho-Vj,Station
Greve,Gre,Banedanmark,P,Kh (nær)-Kj (nær),Trinbræt
Grevinge,Gr,Lokaltog A/S,P,Hk-Nk,Station
Gribsø,Gøg,Lokaltog A/S,P,Hi-Tvl,Trinbræt
Grimstrup,Gsf,Lokaltog A/S,P,Hi-Hun,Trinbræt
Grubberholm,Grh,Lokaltog A/S,P,Kj-Fxl,Station
Grænge,Grg,Banedanmark,P,Nfv-Nsk,Station
Græsted,Græ,Lokaltog A/S,P,Kgg-Gll,Station
Græsted Syd,Grs,Lokaltog A/S,P,Kgg-Gll,Trinbræt
Grøndal,Ght,Banedanmark,P,Ig (nær)-Hl (nær),Trinbræt
Grønholt,Grt,Lokaltog A/S,P,Hi-Sq,Trinbræt
Grønnehave,Grø,Lokaltog A/S,P,Hg-Gll,Station
Gråsten,Gst,Banedanmark,P,Sdb-Te,Station
